scene,iter,pct,n_gauss,ema_loss,elapsed_s,ram_gb,vram_gb,psnr,ssim,lpips,psnr_norm,score,n_views,d_score,d_psnr,d_ssim,d_lpips
drjohnson,1000,14.285714285714286,87375,0.08694251877166961,9.569226026535034,3.7350425720214844,0.9704313278198242,21.46926275889079,0.716662734746933,0.42969878017902374,0.7156420946121216,0.6578119993209839,6,,,,
drjohnson,2000,28.571428571428573,106415,0.08238010136088275,19.29520845413208,3.7349510192871094,0.9916782379150391,24.485928535461426,0.7861784100532532,0.3022219041983287,0.8161975741386414,0.7598240375518799,6,0.102012038230896,3.016665776570637,0.06951567530632019,-0.12747687598069507
drjohnson,3000,42.857142857142854,121412,0.04415512263336059,30.118448972702026,3.7439842224121094,1.0103168487548828,10.919701417287191,0.13438483948508897,0.6353564461072286,0.36399003863334656,0.2953698933124542,6,-0.46445414423942566,-13.566227118174234,-0.6517935705681642,0.33313454190889996
drjohnson,4000,57.142857142857146,136861,0.04129327000875661,39.674601316452026,3.7091903686523438,1.0281825065612793,27.44325351715088,0.8389488160610199,0.19303817798693976,0.9147750735282898,0.8489019870758057,6,0.5535320937633514,16.523552099863686,0.704563976575931,-0.44231826812028885
drjohnson,5000,71.42857142857143,151019,0.04322172307027983,51.22621202468872,3.7087631225585938,1.0459208488464355,28.70228894551595,0.8657441238562266,0.16233893980582556,0.9567430019378662,0.8818105459213257,6,0.03290855884552002,1.2590354283650704,0.02679530779520667,-0.030699238181114197
drjohnson,6000,85.71428571428571,162756,0.03479086521232286,61.289756774902344,3.69805908203125,1.0602331161499023,11.098194678624472,0.1599914158384005,0.6185383200645447,0.3699398338794708,0.31156405806541443,6,-0.5702464878559113,-17.60409426689148,-0.7057527080178261,0.4561993802587191
drjohnson,7000,100.0,174003,0.038107425204829314,73.28252863883972,3.7123184204101562,1.0732698440551758,29.251206080118816,0.874997635682424,0.14597250521183014,0.9750401973724365,0.896622359752655,6,0.5850583016872406,18.153011401494346,0.7150062198440235,-0.47256581485271454
playroom,1000,14.285714285714286,43980,0.07026774217433979,8.77889370918274,9.554008483886719,0.7219696044921875,20.47892665863037,0.736480325460434,0.3164643595616023,0.6826308965682983,0.699147641658783,6,,,,
playroom,2000,28.571428571428573,68412,0.04086051339022491,17.345508098602295,9.555534362792969,0.7485842704772949,23.83729902903239,0.7909983297189077,0.21186954031387964,0.7945766448974609,0.7909246683120728,6,0.0917770266532898,3.3583723704020194,0.05451800425847375,-0.10459481924772265
playroom,3000,42.857142857142854,87585,0.03648933162407507,25.92857074737549,9.554824829101562,0.7729172706604004,7.60038701693217,0.16717801615595818,0.7365584572156271,0.2533462345600128,0.23153391480445862,6,-0.5593907535076141,-16.23691201210022,-0.6238203135629495,0.5246889169017475
playroom,4000,57.142857142857146,102168,0.026766719819835166,34.846192359924316,9.56966781616211,0.7908201217651367,28.583666165669758,0.8678914109865824,0.12814982856313387,0.9527888894081116,0.8949441909790039,6,0.6634102761745453,20.983279148737587,0.7007133948306242,-0.6084086286524932
playroom,5000,71.42857142857143,113080,0.02815365146272019,44.816601276397705,9.577423095703125,0.8054137229919434,29.34871546427409,0.8841839631398519,0.10746407136321068,0.9782904982566833,0.9157567024230957,6,0.020812511444091797,0.7650492986043318,0.016292552153269524,-0.020685757199923188
playroom,6000,85.71428571428571,122162,0.026152967491823484,54.613492250442505,9.586620330810547,0.8162574768066406,7.754806756973267,0.18445787702997526,0.7015702923138937,0.2584935426712036,0.2522573173046112,6,-0.6634993851184845,-21.593908707300823,-0.6997260861098766,0.594106220950683
playroom,7000,100.0,129383,0.023641839604708448,65.29246711730957,9.575271606445312,0.8247451782226562,29.397922197977703,0.883827139933904,0.1059639813999335,0.9799307584762573,0.9167417883872986,6,0.6644844710826874,21.643115441004436,0.6993692629039288,-0.5956063109139602
train,1000,14.285714285714286,184170,0.15312649643494233,12.85539436340332,9.576385498046875,0.6773009300231934,17.6268793741862,0.6678932507832845,0.3514978935321172,0.587562620639801,0.6360375881195068,6,,,,
train,2000,28.571428571428573,190927,0.09905524893986561,25.29231286048889,9.573482513427734,0.6846151351928711,19.14371109008789,0.731118862827619,0.2514928951859474,0.6381236910820007,0.710175633430481,6,0.07413804531097412,1.5168317159016915,0.06322561204433441,-0.10000499834616977
train,3000,42.857142857142854,198095,0.10634350358280756,39.15255093574524,9.584537506103516,0.6930241584777832,7.0613845984141035,0.12553696210185686,0.6895716786384583,0.23537948727607727,0.23244626820087433,6,-0.47772936522960663,-12.082326491673786,-0.6055819007257621,0.43807878345251083
train,4000,57.142857142857146,200829,0.09484745559627274,51.996559143066406,9.577102661132812,0.6967730522155762,21.45475165049235,0.800909678141276,0.17135814328988394,0.7151584029197693,0.786277174949646,6,0.5538309067487717,14.393367052078247,0.6753727160394192,-0.5182135353485743
train,5000,71.42857142857143,202720,0.06714873199383814,66.1897132396698,9.558662414550781,0.6997761726379395,21.30234432220459,0.818851888179779,0.14838857452074686,0.7100781798362732,0.7993236184120178,6,0.013046443462371826,-0.1524073282877616,0.017942210038503048,-0.022969568769137083
train,6000,85.71428571428571,204504,0.08062767571542898,78.45471668243408,9.577178955078125,0.7014470100402832,7.111245075861613,0.13254289453228316,0.6711211105187734,0.23704150319099426,0.24242687225341797,6,-0.5568967461585999,-14.191099246342976,-0.6863089936474959,0.5227325359980266
train,7000,100.0,201129,0.05835153809106833,92.82694339752197,9.585678100585938,0.6988272666931152,21.910274187723797,0.8242329061031342,0.13519767671823502,0.7303425073623657,0.8122935891151428,6,0.5698667168617249,14.799029111862183,0.691690011570851,-0.5359234338005384
truck,1000,14.285714285714286,140691,0.08717350438223842,11.794770956039429,9.58859634399414,0.5508108139038086,20.250009536743164,0.7687982320785522,0.18390125036239624,0.6750003099441528,0.759579062461853,6,,,,
truck,2000,28.571428571428573,154996,0.06551447949164631,23.067582607269287,9.574615478515625,0.5662326812744141,22.07818094889323,0.8242264688014984,0.1168058638771375,0.7359393239021301,0.8213274478912354,6,0.061748385429382324,1.8281714121500663,0.05542823672294617,-0.06709538648525874
truck,3000,42.857142857142854,165549,0.051524375076942394,36.860108375549316,9.573333740234375,0.5799813270568848,6.044218858083089,0.11639092862606049,0.6723634401957194,0.20147396624088287,0.22641409933567047,6,-0.5949133485555649,-16.033962090810142,-0.7078355401754379,0.5555575763185818
truck,4000,57.142857142857146,172293,0.05180114188662841,49.08626365661621,9.574493408203125,0.5889072418212891,23.498109181722004,0.8693641821543375,0.08109734393656254,0.7832702994346619,0.8633514642715454,6,0.6369373649358749,17.453890323638916,0.752973253528277,-0.5912660962591568
truck,5000,71.42857142857143,180002,0.04710354072654875,63.1067841053009,9.559093475341797,0.5985016822814941,24.27754815419515,0.8855899075667063,0.07011631752053897,0.809251606464386,0.8804059624671936,6,0.017054498195648193,0.7794389724731445,0.016225725412368774,-0.010981026416023568
truck,6000,85.71428571428571,184482,0.04343751111054281,75.44527912139893,9.570869445800781,0.6040611267089844,6.0025473435719805,0.11300486698746681,0.6587356328964233,0.20008490979671478,0.2304326891899109,6,-0.6499732732772827,-18.27500081062317,-0.7725850405792395,0.5886193153758844
truck,7000,100.0,187287,0.052571246693012,89.29036450386047,9.579299926757812,0.6073875427246094,24.35587978363037,0.8867595493793488,0.06880165201922257,0.8118627071380615,0.8820660710334778,6,0.6516333818435669,18.35333244005839,0.7737546823918819,-0.5899339808772007
